umbral_pd,n_aprobados,tasa_aprobacion,tasa_impago_aprobados,utilidad_total
0.02,214,0.00951111111111111,0.0,359885.730867165
0.04,1332,0.0592,0.003003003003003003,2099640.1748673455
0.06,2928,0.13013333333333332,0.0047814207650273225,4350295.684460695
0.08,4489,0.1995111111111111,0.004009801737580753,6308286.131566285
0.1,5990,0.26622222222222225,0.004507512520868113,7959473.757226836
0.12,7285,0.3237777777777778,0.00549073438572409,9180773.329611026
0.14,8415,0.374,0.006298276886512181,10070061.132826038
0.16,9411,0.4182666666666667,0.0066942939113803,10699118.256778859
0.18,10272,0.45653333333333335,0.008274922118380061,11108656.38688709
0.2,11039,0.49062222222222224,0.009149379472778331,11353377.24122779
0.22,11729,0.5212888888888889,0.009890016199164464,11467415.02063549
0.24,12327,0.5478666666666666,0.009734728644439037,11472630.113019144
0.26,12868,0.5719111111111111,0.010568852968604289,11393545.033415223
0.28,13349,0.5932888888888889,0.011311708742227882,11245722.116592046
0.3,13774,0.6121777777777778,0.01190649048932772,11048331.13785804
0.32,14249,0.6332888888888889,0.01242192434556811,10755782.83357862
0.34,14673,0.6521333333333333,0.013153411027056498,10428048.263418496
0.36,15074,0.6699555555555555,0.014196629958869576,10055678.701485952
0.38,15427,0.6856444444444444,0.014779283075128023,9674148.333879128
0.4,15805,0.7024444444444444,0.015817779183802595,9205032.44700858
0.42,16179,0.7190666666666666,0.016997342233759812,8681230.976605702
0.44,16489,0.7328444444444444,0.01783006853053551,8199351.966670464
0.46,16800,0.7466666666666667,0.01875,7668031.167145165
0.48,17133,0.7614666666666666,0.019728010272573395,7045832.863266872
0.5,17435,0.7748888888888888,0.020648121594493835,6435688.431113712
0.52,17711,0.7871555555555556,0.02173790299813675,5834476.275989814
0.54,17995,0.7997777777777778,0.022395109752709086,5172445.428728926
0.56,18302,0.8134222222222223,0.02393181073106764,4408983.045283586
0.58,18556,0.8247111111111111,0.024735934468635482,3737431.413555
0.6,18823,0.8365777777777778,0.025660096690219413,2989511.5823051985
0.62,19069,0.8475111111111111,0.02616812627825266,2261982.6839128146
0.64,19317,0.8585333333333334,0.027126365377646632,1489962.0267477501
0.66,19523,0.8676888888888888,0.028376786354556163,816341.8149558301
0.68,19747,0.8776444444444444,0.029726034334329264,48828.47138468109
0.7,19937,0.8860888888888889,0.031047800571801173,-631098.3641605743
0.72,20136,0.8949333333333334,0.03247914183551848,-1375569.3909809394
0.74,20325,0.9033333333333333,0.03409594095940959,-2112083.668216945
0.76,20482,0.9103111111111111,0.03534811053608046,-2746777.3404013775
0.78,20651,0.9178222222222222,0.03709263473923781,-3457196.108944538
0.8,20801,0.9244888888888889,0.03821931637902024,-4110089.558239418
0.82,20943,0.9308,0.03972687771570453,-4752090.634904036
0.84,21096,0.9376,0.04152445961319681,-5468662.231261032
0.86,21321,0.9476,0.04408798836827541,-6555890.104018167
0.88,21547,0.9576444444444444,0.047245556225924724,-7683250.864068564
